Timestamp,Source IP Address,Destination IP Address,Source Port,Destination Port,Protocol,Packet Length,Packet Type,Traffic Type,Malware Indicators,Anomaly Scores,Alerts/Warnings,Attack Type,Attack Signature,Action Taken,Severity Level,User Information,Device Information,Network Segment,Geo-location Data,Proxy Information,Firewall Logs,IDS/IPS Alerts,Log Source,source_country,destination_country
2023-02-01 13:17:17,54.163.130.178,62.112.149.214,47795,35243,UDP,913,Data,DNS,,72.65,Alert Triggered,Malware,Known Pattern B,Logged,High,Inaaya  Soman,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/5645-10-22 09:50:59 Firefox/3.8,Segment B,"Silchar, Maharashtra",155.121.88.187,,,Firewall,United States,Netherlands
2021-05-29 15:33:51,197.137.61.248,87.49.219.65,64351,43307,ICMP,1487,Control,HTTP,IoC Detected,45.42,,Intrusion,Known Pattern B,Blocked,Low,Faiyaz Som,Opera/8.62.(X11; Linux i686; ru-UA) Presto/2.9.184 Version/11.00,Segment C,"Solapur, Madhya Pradesh",,Log Data,Alert Data,Firewall,Kenya,Denmark
2023-01-10 12:29:37,188.40.103.145,84.139.233.32,39208,61136,UDP,350,Control,HTTP,,77.06,Alert Triggered,DDoS,Known Pattern A,Ignored,Medium,Mannat Goyal,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/535.44.6 (KHTML, like Gecko) Version/5.0 Safari/535.44.6",Segment A,"Gudivada, Karnataka",,Log Data,Alert Data,Firewall,Germany,Germany
2020-10-15 19:05:37,99.8.190.190,91.166.229.253,12932,47900,TCP,373,Data,DNS,IoC Detected,3.87,Alert Triggered,Malware,Known Pattern A,Ignored,Medium,Tushar Shenoy,Opera/9.76.(X11; Linux i686; ha-NG) Presto/2.9.181 Version/12.00,Segment B,"Nellore, Tripura",,Log Data,Alert Data,Server,United States,France
2020-07-08 08:08:54,211.43.37.93,93.146.128.133,18768,8138,TCP,521,Data,FTP,IoC Detected,60.57,Alert Triggered,DDoS,Known Pattern B,Ignored,High,Yasmin Balan,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_1_2 like Mac OS X) AppleWebKit/532.2 (KHTML, like Gecko) FxiOS/10.1v4161.0 Mobile/63G518 Safari/532.2",Segment C,"Orai, Tamil Nadu",,Log Data,Alert Data,Server,South Korea,Italy
2022-05-22 03:10:27,115.120.220.179,72.56.150.150,34512,40467,UDP,1311,Control,DNS,IoC Detected,75.16,,DDoS,Known Pattern B,Blocked,Medium,Aniruddh Dani,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/16.4h8714.0 Mobile/30G353 Safari/534.2",Segment C,"Hubli–Dharwad, Chhattisgarh",,,Alert Data,Firewall,China,Poland
2023-03-14 07:27:32,118.23.216.0,109.17.204.56,5032,1068,TCP,308,Control,DNS,,85.28,Alert Triggered,Intrusion,Known Pattern A,Blocked,Medium,Ojas Ray,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/10.8u7697.0 Mobile/58J944 Safari/534.2",Segment A,"Ichalkaranji, Sikkim",153.251.24.124,,,Server,Japan,France
2020-04-10 18:21:31,69.29.17.248,85.236.61.31,59738,44531,TCP,1026,Data,FTP,,77.73,,DDoS,Known Pattern B,Logged,Low,Samar Loyal,Opera/9.51.(X11; Linux i686; byn-ER) Presto/2.9.185 Version/12.00,Segment A,"Panvel, West Bengal",,,,Firewall,United States,Germany
2020-01-12 19:33:29,158.145.58.183,82.213.128.111,35384,2184,ICMP,304,Data,DNS,,78.85,,Intrusion,Known Pattern A,Ignored,High,Romil Sami,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_0 like Mac OS X; zu-ZA) AppleWebKit/534.7.3 (KHTML, like Gecko) Version/3.0.5 Mobile/8B119 Safari/6534.7.3",Segment A,"Noida, Mizoram",122.32.192.199,Log Data,,Firewall,United States,Spain
2022-12-25 22:00:40,27.57.214.142,46.220.52.17,55034,52843,UDP,492,Data,HTTP,,88.16,Alert Triggered,Intrusion,Known Pattern B,Logged,High,Kabir Tak,Opera/8.73.(Windows CE; as-IN) Presto/2.9.164 Version/12.00,Segment A,"Surendranagar Dudhrej, Sikkim",,,Alert Data,Server,India,Austria
